image_url,title,price,reference_number,url
https://www.solanesjoier.com/4669-large_default/anillo-solitario-oro-rosa-con-brillante-brown.jpg,Anillo Solitario Oro Rosa con Brillante Brown,"1.076,00 €",002264282,https://www.solanesjoier.com/joyas-lujo/1367-anillo-solitario-oro-rosa-con-brillante-brown.html
https://www.solanesjoier.com/4671-large_default/anillo-solitario-oro-rosa-de-zafiro-rosa.jpg,Anillo Solitario Oro Rosa de Zafiro Rosa,"769,00 €",002264241,https://www.solanesjoier.com/joyas-lujo/1368-anillo-solitario-oro-rosa-de-zafiro-rosa.html
https://www.solanesjoier.com/4667-large_default/anillo-oro-rosa-media-alianza-de-brillantes-brown.jpg,Anillo Oro Rosa Media Alianza de Brillantes Brown,"859,00 €",006420018,https://www.solanesjoier.com/anillos-compromiso/1366-anillo-oro-rosa-media-alianza-de-brillantes-brown.html
https://www.solanesjoier.com/4659-large_default/anillo-oro-rosa-con-zafiro-azul-central-y-diamantes.jpg,Anillo Oro Rosa con Zafiro Azul central y Diamantes,"1.520,00 €",006420013,https://www.solanesjoier.com/joyas-lujo/1362-anillo-oro-rosa-con-zafiro-azul-central-y-diamantes.html
https://www.solanesjoier.com/4663-large_default/anillo-oro-rosa-con-rubi-y-brillantes-brown.jpg,Anillo Oro Rosa con Rubí y Brillantes Brown,"1.395,00 €",006420017,https://www.solanesjoier.com/joyas-lujo/1364-anillo-oro-rosa-con-rubi-y-brillantes-brown.html
https://www.solanesjoier.com/4655-large_default/anillo-oro-rosa-con-zafiro-padparadscha-y-diamantes.jpg,Anillo Oro Rosa con Zafiro Padparadscha y Diamantes,"1.819,00 €",006420005,https://www.solanesjoier.com/joyas-lujo/1360-anillo-oro-rosa-con-zafiro-padparadscha-y-diamantes.html
https://www.solanesjoier.com/4643-large_default/anillo-oro-blanco-con-rubi-oval-y-diamantes.jpg,Anillo en Oro Blanco con Rubí Oval y Diamantes,"1.250,00 €",000201546,https://www.solanesjoier.com/anillos-compromiso/1354-anillo-oro-blanco-con-rubi-oval-y-diamantes.html
https://www.solanesjoier.com/4661-large_default/anillo-oro-blanco-con-rubis.jpg,Anillo Oro Blanco con Rubis,"869,00 €",002264288,https://www.solanesjoier.com/joyas-lujo/1363-anillo-oro-blanco-con-rubis.html
https://www.solanesjoier.com/4641-large_default/anillo-oro-blanco-con-esmeralda-y-diamantes.jpg,Anillo en Oro Blanco con Esmeralda y Diamantes,"1.070,00 €",000201545,https://www.solanesjoier.com/anillos-compromiso/1353-anillo-oro-blanco-con-esmeralda-y-diamantes.html
https://www.solanesjoier.com/4651-large_default/anillo-oro-blanco-con-esmeralda-central-oval-y-diamantes.jpg,Anillo Oro Blanco con Esmeralda central oval y Diamantes,"950,00 €",005460248,https://www.solanesjoier.com/anillos-compromiso/1358-anillo-oro-blanco-con-esmeralda-central-oval-y-diamantes.html
